category_id,category_name
1,Medical Support 01
2,Education Access 02
3,Community Care 03
4,Emergency Relief 04
5,Children and Youth 05
6,Elderly Support 06
7,Animal Welfare 07
8,Disaster Recovery 08
9,Mental Wellness 09
10,Food Assistance 10
11,Medical Support 11
12,Education Access 12
13,Community Care 13
14,Emergency Relief 14
15,Children and Youth 15
16,Elderly Support 16
17,Animal Welfare 17
18,Disaster Recovery 18
19,Mental Wellness 19
20,Food Assistance 20
21,Medical Support 21
22,Education Access 22
23,Community Care 23
24,Emergency Relief 24
25,Children and Youth 25
26,Elderly Support 26
27,Animal Welfare 27
28,Disaster Recovery 28
29,Mental Wellness 29
30,Food Assistance 30
31,Medical Support 31
32,Education Access 32
33,Community Care 33
34,Emergency Relief 34
35,Children and Youth 35
36,Elderly Support 36
37,Animal Welfare 37
38,Disaster Recovery 38
39,Mental Wellness 39
40,Food Assistance 40
41,Medical Support 41
42,Education Access 42
43,Community Care 43
44,Emergency Relief 44
45,Children and Youth 45
46,Elderly Support 46
47,Animal Welfare 47
48,Disaster Recovery 48
49,Mental Wellness 49
50,Food Assistance 50
51,Medical Support 51
52,Education Access 52
53,Community Care 53
54,Emergency Relief 54
55,Children and Youth 55
56,Elderly Support 56
57,Animal Welfare 57
58,Disaster Recovery 58
59,Mental Wellness 59
60,Food Assistance 60
61,Medical Support 61
62,Education Access 62
63,Community Care 63
64,Emergency Relief 64
65,Children and Youth 65
66,Elderly Support 66
67,Animal Welfare 67
68,Disaster Recovery 68
69,Mental Wellness 69
70,Food Assistance 70
71,Medical Support 71
72,Education Access 72
73,Community Care 73
74,Emergency Relief 74
75,Children and Youth 75
76,Elderly Support 76
77,Animal Welfare 77
78,Disaster Recovery 78
79,Mental Wellness 79
80,Food Assistance 80
81,Medical Support 81
82,Education Access 82
83,Community Care 83
84,Emergency Relief 84
85,Children and Youth 85
86,Elderly Support 86
87,Animal Welfare 87
88,Disaster Recovery 88
89,Mental Wellness 89
90,Food Assistance 90
91,Medical Support 91
92,Education Access 92
93,Community Care 93
94,Emergency Relief 94
95,Children and Youth 95
96,Elderly Support 96
97,Animal Welfare 97
98,Disaster Recovery 98
99,Mental Wellness 99
100,Food Assistance 100
